date,price,open,max,min,volume,change
2022-01-21,87.89,86.75,88.23,85.71,288.21,-0.55
2022-01-20,88.38,87.89,89.5,87.05,279.52,-0.07
2022-01-19,88.44,88.65,89.17,87.61,350.94,1.06
2022-01-18,87.51,86.47,88.66,86.44,356.88,1.19
2022-01-17,86.48,86.15,86.71,85.54,139.82,0.49
2022-01-14,86.06,84.12,86.5,83.99,304.72,1.88
2022-01-13,84.47,84.87,85.1,83.79,265.2,-0.24
2022-01-12,84.67,83.78,85.21,83.52,301.39,1.13
2022-01-11,83.72,81.08,83.98,80.89,324.94,3.52
2022-01-10,80.87,81.76,82.3,80.5,300.65,-1.08
2022-01-07,81.75,82.0,83.0,81.42,286.11,-0.29
2022-01-06,81.99,80.22,82.83,79.61,353.16,1.47
2022-01-05,80.8,80.07,81.5,79.51,331.74,1.0
2022-01-04,80.0,78.91,80.55,78.62,291.68,1.29
