date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2022-05-19,98.63,98.63,98.63,98.63,0.0,0,0
2022-05-20,98.63,98.631,98.59,98.631,0.0,0,0
2022-05-23,98.57,98.57,98.57,98.57,0.0,0,0
2022-05-24,98.5,98.5,98.481,98.481,0.0,0,0
2022-05-25,98.699,98.74,98.4,98.52,0.0,0,0
2022-05-26,98.65,98.65,98.65,98.65,0.0,0,0
2022-05-27,98.696,98.696,98.4,98.648,0.0,0,0
2022-05-31,98.6,98.6,98.6,98.6,0.0,0,0
2022-06-01,98.66,98.748,98.45,98.748,0.0,0,0
2022-06-02,98.798,98.798,98.798,98.798,0.0,0,0
2022-06-03,98.75,98.75,98.55,98.55,0.0,0,0
2022-06-06,98.55,98.55,98.5,98.5,0.0,0,0
2022-06-07,98.374,98.55,98.374,98.5,0.0,0,0
2022-06-09,98.6,98.6,98.5,98.5,0.0,0,0
2022-06-10,98.999,98.999,98.421,98.8,0.0,0,0
2022-06-14,98.6,98.6,98.6,98.6,0.0,0,0
2022-06-15,98.422,98.422,98.421,98.421,0.0,0,0
2022-06-16,98.598,98.599,98.598,98.599,0.0,0,0
2022-06-17,98.6,98.799,98.6,98.799,0.0,0,0
2022-06-20,98.6,98.64,98.6,98.64,0.0,0,0
2022-06-21,98.58,98.58,98.58,98.58,0.0,0,0
2022-06-22,98.501,98.799,98.5,98.799,0.0,0,0
2022-06-23,98.8,98.8,98.65,98.798,0.0,0,0
2022-06-24,98.75,98.75,98.75,98.75,0.0,0,0
2022-06-27,98.75,98.75,98.572,98.572,0.0,0,0
2022-06-28,98.45,98.809,98.45,98.809,0.0,0,0
2022-06-29,98.79,98.79,98.75,98.75,0.0,0,0
2022-06-30,98.75,98.75,98.57,98.75,0.0,0,0
2022-07-01,98.75,98.75,98.749,98.749,0.0,0,0
2022-07-04,98.75,98.75,98.57,98.57,0.0,0,0
2022-07-05,98.69,98.69,98.69,98.69,0.0,0,0
2022-07-06,98.6,98.6,98.57,98.57,0.0,0,0
2022-07-07,98.57,98.57,98.57,98.57,0.0,0,0
2022-07-08,102.857,102.857,98.5,98.55,0.0,0,0
2022-07-11,98.55,98.55,98.55,98.55,0.0,0,0
