date,CLOSE,OPEN,HIGH,LOW
2021-10-19,4276.26,4256.24,4279.2,4235.81
2021-10-20,4287.52,4284.91,4290.99,4258.14
2021-10-21,4218.63,4276.94,4282.46,4214.82
2021-10-22,4196.96,4218.5,4246.22,4196.96
2021-10-25,4254.98,4216.43,4254.98,4184.74
2021-10-26,4235.87,4254.59,4259.83,4233.8
2021-10-27,4229.53,4216.76,4234.99,4190.68
2021-10-28,4189.66,4210.78,4220.23,4157.39
2021-10-29,4150.0,4186.35,4186.7,4116.29
2021-11-01,4221.49,4155.24,4224.51,4155.24
2021-11-02,4207.53,4235.89,4245.32,4196.75
2021-11-03,4184.87,4192.14,4192.14,4158.17
2021-11-05,4174.76,4179.03,4181.87,4159.92
2021-11-08,4218.27,4203.65,4220.88,4188.59
2021-11-09,4187.33,4207.59,4225.82,4181.75
2021-11-10,4172.47,4192.62,4196.22,4151.6
2021-11-11,4189.35,4141.62,4189.35,4126.52
2021-11-12,4121.66,4181.7,4181.7,4089.32
2021-11-15,4135.14,4121.5,4162.02,4111.04
2021-11-16,4120.02,4147.69,4158.31,4094.15
2021-11-17,4149.02,4120.23,4149.02,4101.96
2021-11-18,4093.85,4120.81,4150.57,4082.17
2021-11-19,4016.47,4121.74,4127.0,4000.26
2021-11-22,3872.77,4008.13,4017.02,3872.77
2021-11-23,3960.33,3832.33,3974.76,3776.61
2021-11-24,3950.56,4001.89,4021.25,3913.39
2021-11-25,3947.82,3964.25,3990.95,3932.55
2021-11-26,3810.98,3852.99,3876.13,3810.75
2021-11-29,3879.54,3872.19,3928.52,3846.12
2021-11-30,3890.59,3828.25,3902.72,3827.55
2021-12-01,3959.29,3907.17,3962.22,3900.16
2021-12-02,3947.54,3940.09,3972.85,3914.43
2021-12-03,3913.06,3967.88,3977.16,3905.38
2021-12-06,3810.1,3937.15,3938.1,3800.76
2021-12-07,3873.2,3860.83,3880.84,3810.03
2021-12-08,3773.61,3904.84,3915.65,3773.61
2021-12-09,3813.29,3801.67,3847.76,3780.3
2021-12-10,3760.23,3806.97,3814.06,3760.23
2021-12-13,3618.31,3790.1,3794.52,3613.88
2021-12-14,3619.39,3533.82,3638.49,3532.29
2021-12-15,3621.82,3653.16,3666.53,3608.6
2021-12-16,3750.36,3705.57,3755.07,3701.35
2021-12-17,3723.27,3725.04,3739.59,3696.5
2021-12-20,3669.05,3657.65,3674.71,3629.61
2021-12-21,3693.02,3705.33,3713.68,3670.16
2021-12-22,3746.75,3715.2,3759.67,3699.06
2021-12-23,3704.6,3745.52,3751.37,3691.04
2021-12-24,3702.72,3700.34,3703.72,3653.63
2021-12-27,3740.63,3711.77,3742.12,3709.19
2021-12-28,3777.56,3766.5,3790.44,3751.0
2021-12-29,3741.07,3756.54,3770.09,3727.35
2021-12-30,3787.26,3753.92,3789.61,3740.93
2022-01-03,3852.5,3825.3,3866.15,3823.5
2022-01-04,3873.49,3880.2,3892.33,3846.81
2022-01-05,3815.05,3857.9,3875.25,3805.06
2022-01-06,3753.29,3758.68,3784.17,3720.17
2022-01-07,3772.04,3772.04,3772.04,3772.04
2022-01-10,3738.68,3798.43,3806.84,3726.73
2022-01-11,3785.29,3764.56,3800.91,3751.45
2022-01-12,3829.95,3797.31,3841.72,3783.92
2022-01-13,3674.73,3814.98,3818.97,3664.48
2022-01-14,3596.98,3703.9,3723.62,3512.03
2022-01-17,3560.35,3633.01,3651.36,3501.94
2022-01-18,3328.94,3527.77,3534.56,3297.12
2022-01-19,3436.82,3290.31,3500.27,3256.6
2022-01-20,3516.02,3519.02,3533.61,3403.74
2022-01-21,3439.25,3420.12,3503.84,3407.27
2022-01-24,3235.28,3426.19,3426.47,3158.46
2022-01-25,3258.74,3316.98,3330.9,3229.45
2022-01-26,3357.66,3341.71,3412.15,3276.06
2022-01-27,3455.93,3296.47,3525.94,3284.49
2022-01-28,3488.6,3508.57,3534.4,3446.01
2022-01-31,3530.38,3524.11,3566.05,3518.55
2022-02-01,3548.17,3564.55,3584.71,3531.35
2022-02-02,3543.8,3574.87,3580.22,3516.17
2022-02-03,3471.18,3498.76,3519.23,3446.65
2022-02-04,3471.01,3499.32,3556.32,3464.14
2022-02-07,3470.78,3511.39,3521.26,3437.93
2022-02-08,3551.65,3497.18,3551.65,3487.64
2022-02-09,3638.93,3593.0,3638.93,3580.45
2022-02-10,3655.76,3628.51,3655.76,3592.75
2022-02-11,3546.62,3579.69,3596.74,3514.12
2022-02-14,3481.38,3442.82,3524.87,3404.35
2022-02-15,3600.29,3532.0,3614.15,3514.98
2022-02-16,3646.41,3682.94,3683.95,3608.01
2022-02-17,3511.08,3588.27,3595.12,3498.2
2022-02-18,3393.31,3547.04,3565.52,3371.05
2022-02-21,3036.88,3458.73,3460.42,2910.49
2022-02-22,3084.74,2909.4,3113.4,2756.46
2022-02-24,2058.12,2735.88,2740.31,1681.55
2022-02-25,2470.48,2261.33,2552.46,2256.09
2022-03-24,2578.51,2474.52,2761.17,2447.68
2022-03-25,2484.13,2620.62,2664.74,2470.69
2022-03-28,2430.7,2479.49,2484.57,2407.2
2022-03-29,2408.49,2442.43,2538.2,2363.62
2022-03-30,2513.03,2437.92,2513.03,2437.92
2022-03-31,2703.51,2535.32,2703.51,2533.39
2022-04-01,2759.64,2714.62,2817.72,2714.62
2022-04-04,2787.69,2775.06,2835.46,2682.34
2022-04-05,2662.79,2796.56,2808.27,2576.34
2022-04-06,2611.43,2641.79,2696.97,2594.95
2022-04-07,2635.39,2618.26,2653.85,2618.26
2022-04-08,2592.72,2649.16,2656.72,2554.72
2022-04-11,2557.16,2596.17,2623.64,2557.16
2022-04-12,2540.99,2559.22,2570.78,2472.28
2022-04-13,2528.42,2546.64,2558.86,2517.44
2022-04-14,2404.73,2530.9,2533.77,2403.86
2022-04-15,2424.99,2403.16,2431.91,2353.13
2022-04-18,2342.63,2430.91,2447.58,2338.36
2022-04-19,2317.46,2342.53,2344.37,2216.61
2022-04-20,2330.73,2326.03,2374.87,2271.72
2022-04-21,2271.05,2334.97,2341.21,2260.68
2022-04-22,2232.23,2271.18,2290.04,2223.73
2022-04-25,2186.22,2236.32,2237.45,2168.18
2022-04-26,2318.46,2190.97,2347.92,2190.97
2022-04-27,2424.28,2326.27,2427.47,2305.47
2022-04-28,2383.66,2434.86,2505.94,2379.12
2022-04-29,2445.17,2390.83,2448.52,2390.83
2022-05-04,2373.16,2444.25,2464.6,2373.16
2022-05-05,2404.8,2379.04,2412.81,2379.04
2022-05-06,2393.03,2405.17,2406.78,2372.52
2022-05-11,2387.14,2391.91,2414.87,2367.48
2022-05-12,2297.89,2382.33,2386.16,2283.31
2022-05-13,2307.5,2309.98,2321.91,2283.1
2022-05-16,2364.6,2308.2,2379.35,2306.06
